what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.xtend.typesystem.xsd.ui,1.0.1.v201008251147,"org.eclipse.xtend.typesystem.xsd.ui",1300462901703
stopped,bundle,org.eclipse.xtend.ui,1.0.1.v201008251147,"org.eclipse.xtend.ui",1300462901703
stopped,bundle,org.eclipse.xtend.shared.ui,1.0.1.v201008251147,"org.eclipse.xtend.shared.ui",1300462901703
stopped,bundle,org.eclipse.emf.mwe.ui,1.0.2.v201102150556,"org.eclipse.emf.mwe.ui",1300462901703
stopped,bundle,org.eclipse.xtext.xbase.ui,1.0.2.v201102150722,"org.eclipse.xtext.xbase.ui",1300462901703
stopped,bundle,org.eclipse.xtext.xbase,1.0.2.v201102150722,"org.eclipse.xtext.xbase",1300462901703
stopped,bundle,org.fornax.soa.basedsl.generator,1.2.0.201103141328,"org.fornax.soa.basedsl.generator",1300462901703
stopped,bundle,org.fornax.soa.servicerepo.ui,1.2.0.201103141328,"org.fornax.soa.servicerepo.ui",1300462901703
stopped,bundle,org.fornax.soa.bindingdsl.ui,1.2.0.201103141328,"org.fornax.soa.bindingdsl.ui",1300462901703
stopped,bundle,org.fornax.soa.profiledsl.ui,1.2.0.201103141328,"org.fornax.soa.profiledsl.ui",1300462901703
stopped,bundle,org.fornax.soa.servicedsl.ui,1.2.0.201103141328,"org.fornax.soa.servicedsl.ui",1300462901703
stopped,bundle,org.fornax.soa.solutiondsl.ui,1.2.0.201103141328,"org.fornax.soa.solutiondsl.ui",1300462901734
stopped,bundle,org.fornax.soa.basedsl.ui,1.2.0.201103141328,"org.fornax.soa.basedsl.ui",1300462901734
stopped,bundle,org.fornax.soa.bindingdsl.generator,1.2.0.201103141328,"org.fornax.soa.bindingdsl.generator",1300462901750
stopped,bundle,org.fornax.soa.servicedsl.generator,1.2.0.201103141328,"org.fornax.soa.servicedsl.generator",1300462901750
stopped,bundle,org.fornax.soa.bindingdsl,1.2.0.201103141328,"org.fornax.soa.bindingdsl",1300462901750
stopped,bundle,org.fornax.soa.businessdsl.generator,1.2.0.201103141328,"org.fornax.soa.businessdsl.generator",1300462901750
stopped,bundle,org.fornax.soa.solutiondsl.generator,1.2.0.201103141328,"org.fornax.soa.solutiondsl.generator",1300462901750
stopped,bundle,org.fornax.soa.solutiondsl,1.2.0.201103141328,"org.fornax.soa.solutiondsl",1300462901750
stopped,bundle,org.fornax.soa.servicedsl,1.2.0.201103141328,"org.fornax.soa.servicedsl",1300462901750
stopped,bundle,org.fornax.soa.profiledsl,1.2.0.201103141328,"org.fornax.soa.profiledsl",1300462901750
stopped,bundle,org.fornax.soa.basedsl,1.2.0.201103141328,"org.fornax.soa.basedsl",1300462901750
stopped,bundle,org.fornax.soa.businessdsl.ui,1.2.0.201103141328,"org.fornax.soa.businessdsl.ui",1300462901750
stopped,bundle,org.fornax.soa.businessdsl,1.2.0.201103141328,"org.fornax.soa.businessdsl",1300462901750
stopped,bundle,org.fornax.soa.environmentdsl.generator,1.2.0.201103141328,"org.fornax.soa.environmentdsl.generator",1300462901750
stopped,bundle,org.fornax.soa.environmentdsl.ui,1.2.0.201103141328,"org.fornax.soa.environmentdsl.ui",1300462901765
stopped,bundle,org.fornax.soa.environmentdsl,1.2.0.201103141328,"org.fornax.soa.environmentdsl",1300462901765
stopped,bundle,org.fornax.soa.semanticsdsl.generator,1.2.0.201103141328,"org.fornax.soa.semanticsdsl.generator",1300462901765
stopped,bundle,org.fornax.soa.semanticsdsl.ui,1.2.0.201103141328,"org.fornax.soa.semanticsdsl.ui",1300462901765
stopped,bundle,org.fornax.soa.sladsl.generator,1.2.0.201103141328,"org.fornax.soa.sladsl.generator",1300462901765
stopped,bundle,org.fornax.soa.sladsl.ui,1.2.0.201103141328,"org.fornax.soa.sladsl.ui",1300462901765
stopped,bundle,org.fornax.soa.sladsl,1.2.0.201103141328,"org.fornax.soa.sladsl",1300462901765
stopped,bundle,org.fornax.soa.semanticsdsl,1.2.0.201103141328,"org.fornax.soa.semanticsdsl",1300462901765
stopped,bundle,org.fornax.soa.servicerepo,1.2.0.201103141328,"org.fornax.soa.servicerepo",1300462901765
stopped,bundle,org.jbpm.gd.jpdl,3.3.0.v20110215-1501-H35-GA,"org.jbpm.gd.jpdl",1300462901765
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1300462901812
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1300462901812
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1300462901812
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.502.v201101121843,"org.eclipse.jst.ejb.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.600.v201008171516,"org.eclipse.jst.ws.axis.creation.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1300462901812
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1300462901812
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.creation.ui",1300462901812
stopped,bundle,org.jboss.tools.ws.creation.ui,1.2.0.v20110216-1817-H54-GA,"org.jboss.tools.ws.creation.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.510.v201011041151,"org.eclipse.jst.ws.creation.ui",1300462901812
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1300462901812
stopped,bundle,org.jboss.tools.esb.project.core,1.4.0.v20110215-1314-H32-GA,"org.jboss.tools.esb.project.core",1300462901812
stopped,bundle,org.jboss.tools.ws.ui,1.2.0.v20110216-1817-H54-GA,"org.jboss.tools.ws.ui",1300462901812
stopped,bundle,org.jboss.tools.ws.creation.core,1.2.0.v20110216-1817-H54-GA,"org.jboss.tools.ws.creation.core",1300462901812
stopped,bundle,org.jboss.tools.ws.core,1.2.0.v20110216-1817-H54-GA,"org.jboss.tools.ws.core",1300462901812
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.302.v201101191731,"org.eclipse.jst.ws.consumption.ui",1300462901828
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1300462901828
stopped,bundle,org.jboss.tools.portlet.ui,1.2.0.v20110215-1232-H24-GA,"org.jboss.tools.portlet.ui",1300462901828
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1300462901828
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1300462901828
stopped,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1300462901828
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1300462901828
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.400.v201004150700,"org.eclipse.jst.j2ee.jca.ui",1300462901843
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.2.0.v20110216-1758-H51-GA,"org.jboss.ide.eclipse.as.wtp.ui",1300462901843
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1300462901843
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1300462901859
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1300462901875
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.301.v201012020511,"org.eclipse.jst.ws.jaxrs.ui",1300462901890
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1300462902000
stopped,bundle,org.eclipse.jst.common.ui,1.0.3.v201101101700,"org.eclipse.jst.common.ui",1300462902015
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.200.v200909290826,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1300462902015
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.101.v20100906,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1300462902062
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.1.v201101112207,"org.eclipse.jst.jsf.facesconfig.ui",1300462902109
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.0.v20100414,"org.eclipse.jst.pagedesigner.jsf.ui",1300462902125
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.2.v201101211220,"org.eclipse.jst.pagedesigner",1300462902156
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1300462902187
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1300462902234
stopped,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1300462902250
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.2.v20101027,"org.eclipse.jst.jsf.standard.tagsupport",1300462902250
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1300462902250
